,Degree,Betweenness,Eigenvector_Centrality,Closeness,Clustering_Coefficient
STN,0.9794520547945205,7.36758618105325e-05,0.08169202607005822,0.9798657718120806,0.9892642568698907
SUB,1.0,8.038142623743944e-05,0.08336935025048296,1.0,0.9887576759565423
TEa,1.0,8.038142623743944e-05,0.08336935025048296,1.0,0.9887576759565423
TRS,1.0,8.038142623743944e-05,0.08336935025048296,1.0,0.9887576759565423
TU,1.0,8.038142623743944e-05,0.08336935025048296,1.0,0.9887576759565423
VAL,0.9383561643835616,5.4707904721028905e-05,0.07835290873702642,0.9419354838709677,0.9911979390296265
VERM,0.9931506849315068,7.839946865793816e-05,0.08280779227576335,0.9931972789115646,0.9888888888888889
VIS,1.0,8.038142623743944e-05,0.08336935025048296,1.0,0.9887576759565423
VISC,0.9931506849315068,7.97298861595804e-05,0.08279995970214893,0.9931972789115646,0.9886973180076628
VLPO,0.9931506849315068,7.625788208237886e-05,0.0828190851301869,0.9931972789115646,0.989176245210728
VM,0.9863013698630136,7.637995984035694e-05,0.08224607335775029,0.9864864864864865,0.989024864024864
VMH,0.9931506849315068,7.906005656662497e-05,0.08280382234119166,0.9931972789115646,0.9887931034482759
VMPO,0.9794520547945205,7.293786592724344e-05,0.08169967087649697,0.9798657718120806,0.9893627499261302
VP,0.9726027397260273,7.506330864478415e-05,0.08111094030906703,0.9733333333333334,0.9889121965837578
VTA,0.9794520547945205,7.638002583301765e-05,0.08167255193155111,0.9798657718120806,0.9888702846449325
VTN,0.9931506849315068,7.771076925063037e-05,0.08281165491480608,0.9931972789115646,0.9889846743295019
VeCB,0.9931506849315068,7.83806593355036e-05,0.08280768498023437,0.9931972789115646,0.9888888888888889
ZI,1.0,8.038142623743944e-05,0.08336935025048296,1.0,0.9887576759565423
